Input, Angle, DeltaT
7.53,3074.65,15560
7.53,3359.86,15581
7.53,3636.62,15602
7.53,3909.15,15623
7.53,4188.73,15643
7.53,4464.08,15665
7.53,4739.44,15685
7.53,5006.34,15706
7.53,5275.35,15727
0.00,5548.59,15748
0.00,5695.07,15768
0.00,5706.34,15790
0.00,5706.34,15810
0.00,5706.34,15831
0.00,5706.34,15851
0.00,5706.34,15873
0.00,5706.34,15893
0.00,5706.34,15913
0.00,5706.34,15935
0.00,5706.34,15955
0.00,5706.34,15976
0.00,5706.34,15997
0.00,5706.34,16018
0.00,5706.34,16038
0.00,5706.34,16060
0.00,5706.34,16080
0.00,5706.34,16101
0.00,5706.34,16122
0.00,5706.34,16143
0.00,5706.34,16163
0.00,5706.34,16184
0.00,5706.34,16205
0.00,5706.34,16226
0.00,5706.34,16246
-7.53,5706.34,16268
-7.53,5652.82,16289
-7.53,5532.39,16311
-7.53,5369.72,16333
-7.53,5159.16,16355
-7.53,4912.68,16376
-7.53,4640.14,16399
-7.53,4337.32,16420
-7.53,4028.17,16442
-7.53,3719.72,16464
-7.53,3404.93,16486
-7.53,3087.32,16507
-7.53,2760.56,16530
-7.53,2445.07,16551
-7.53,2123.94,16573
-7.53,1805.63,16595
-7.53,1482.39,16617
-7.53,1167.61,16638
-7.53,842.25,16661
-7.53,533.10,16681
-7.53,213.38,16702
-7.53,-102.82,16723
-7.53,-438.03,16745
-7.53,-767.61,16766
0.00,-1092.25,16789
0.00,-1300.70,16811
0.00,-1354.93,16832
0.00,-1355.63,16855
0.00,-1355.63,16876
0.00,-1355.63,16898
0.00,-1355.63,16920
0.00,-1355.63,16942
0.00,-1355.63,16963
0.00,-1355.63,16986
0.00,-1355.63,17007
0.00,-1355.63,17029
0.00,-1355.63,17050
0.00,-1355.63,17073
0.00,-1355.63,17094
0.00,-1355.63,17116
0.00,-1355.63,17138
0.00,-1355.63,17160
0.00,-1355.63,17181
0.00,-1355.63,17204
0.00,-1355.63,17225
0.00,-1355.63,17247
0.00,-1355.63,17269
